protein_a,protein_b,similarity_bf,similarity_cc,similarity_mf,similarity_avg
YLR331C,YLR331C,1,1,1,1
YLR331C,YLR253W,0.293,0.484,0.413,0.39666666666666667
YLR331C,YLR253W,0.293,0.484,0.413,0.39666666666666667
YLR331C,YLR254C,0.217,0.505,0.374,0.36533333333333334
YLR331C,YLR254C,0.217,0.505,0.374,0.36533333333333334
YLR331C,YLR258W,0.294,0.469,0.256,0.3396666666666666
YLR331C,YLR258W,0.294,0.469,0.256,0.3396666666666666
YLR331C,YLR259C,0.422,0.525,0.477,0.4746666666666666
YLR331C,YLR259C,0.422,0.525,0.477,0.4746666666666666
YLR331C,YLR260W,0.3,0.437,0.25,0.329
YLR331C,YLR260W,0.3,0.437,0.25,0.329
YLR331C,YLR284C,0.21,0.462,0.296,0.32266666666666666
YLR331C,YLR284C,0.21,0.462,0.296,0.32266666666666666
YLR331C,YLR286C,0.32,0.34,0.309,0.323
YLR331C,YLR286C,0.32,0.34,0.309,0.323
YLR331C,YLR288C,0.354,0.526,0.562,0.48066666666666674
YLR331C,YLR288C,0.354,0.526,0.562,0.48066666666666674
YLR331C,YLR289W,0.502,0.745,0.84,0.6956666666666665
YLR331C,YLR289W,0.502,0.745,0.84,0.6956666666666665
YLR331C,YLR291C,0.542,0.598,0.665,0.6016666666666667
YLR331C,YLR291C,0.542,0.598,0.665,0.6016666666666667
YLR331C,YLR292C,0.242,0.443,0.326,0.337
YLR331C,YLR292C,0.242,0.443,0.326,0.337
YLR331C,YLR293C,0.492,0.461,0.47,0.47433333333333333
YLR331C,YLR293C,0.492,0.461,0.47,0.47433333333333333
YLR331C,YLR294C,0.315,0.329,0.109,0.251
YLR331C,YLR294C,0.315,0.329,0.109,0.251
YLR331C,YLR233C,0.472,0.559,0.542,0.5243333333333334
YLR331C,YLR233C,0.472,0.559,0.542,0.5243333333333334
YLR331C,YLR234W,0.363,0.507,0.412,0.42733333333333334
YLR331C,YLR234W,0.363,0.507,0.412,0.42733333333333334
YLR331C,YLR262C,0.267,0.467,0.395,0.37633333333333335
YLR331C,YLR262C,0.267,0.467,0.395,0.37633333333333335
YLR331C,YLR264W,0.998,0.985,1,0.9943333333333334
YLR331C,YLR264W,0.998,0.985,1,0.9943333333333334
YLR331C,YLR265C,0.442,0.477,0.542,0.48700000000000004
YLR331C,YLR265C,0.442,0.477,0.542,0.48700000000000004
YLR331C,YLR268W,0.316,0.438,0.625,0.45966666666666667
YLR331C,YLR268W,0.316,0.438,0.625,0.45966666666666667
YLR331C,YLR270W,0.344,0.583,0.637,0.5213333333333333
YLR331C,YLR270W,0.344,0.583,0.637,0.5213333333333333
YLR331C,YLR272C,0.328,0.481,0.621,0.4766666666666666
YLR331C,YLR272C,0.328,0.481,0.621,0.4766666666666666
YLR331C,YLR273C,0.276,0.423,0.159,0.28600000000000003
YLR331C,YLR273C,0.276,0.423,0.159,0.28600000000000003
YLR331C,YLR210W,0.31,0.484,0.402,0.3986666666666667
YLR331C,YLR210W,0.31,0.484,0.402,0.3986666666666667
YLR331C,YLR212C,0.302,0.546,0.507,0.45166666666666666
YLR331C,YLR212C,0.302,0.546,0.507,0.45166666666666666
YLR331C,YLR213C,0.276,0.193,0.235,0.23466666666666666
YLR331C,YLR213C,0.276,0.193,0.235,0.23466666666666666
YLR331C,YLR238W,0.314,0.479,0.169,0.32066666666666666
YLR331C,YLR238W,0.314,0.479,0.169,0.32066666666666666
YLR331C,YLR239C,0.311,0.504,0.244,0.353
YLR331C,YLR239C,0.311,0.504,0.244,0.353
YLR331C,YLR240W,0.358,0.401,0.359,0.37266666666666665
YLR331C,YLR240W,0.358,0.401,0.359,0.37266666666666665
YLR331C,YLR242C,0.352,0.38,0.278,0.33666666666666667
YLR331C,YLR242C,0.352,0.38,0.278,0.33666666666666667
YLR331C,YLR243W,0.599,0.425,0.543,0.5223333333333334
YLR331C,YLR243W,0.599,0.425,0.543,0.5223333333333334
YLR331C,YLR244C,0.448,0.904,0.56,0.6373333333333334
YLR331C,YLR244C,0.448,0.904,0.56,0.6373333333333334
YLR331C,YLR246W,0.412,0.495,0.41,0.439
YLR331C,YLR246W,0.412,0.495,0.41,0.439
YLR331C,YLR247C,0.505,0.407,0.3,0.40399999999999997
YLR331C,YLR247C,0.505,0.407,0.3,0.40399999999999997
YLR331C,YLR248W,0.258,0.592,0.484,0.4446666666666667
YLR331C,YLR248W,0.258,0.592,0.484,0.4446666666666667
YLR331C,YLR249W,0.591,0.679,0.608,0.626
YLR331C,YLR249W,0.591,0.679,0.608,0.626
YLR331C,YLR250W,0.183,0.467,0.764,0.4713333333333334
YLR331C,YLR250W,0.183,0.467,0.764,0.4713333333333334
YLR331C,YLR251W,0.156,0.433,0.205,0.26466666666666666
YLR331C,YLR251W,0.156,0.433,0.205,0.26466666666666666
YLR331C,YLR189C,0.353,0.436,0.229,0.3393333333333333
YLR331C,YLR189C,0.353,0.436,0.229,0.3393333333333333
YLR331C,YLR190W,0.27,0.429,0.51,0.403
YLR331C,YLR190W,0.27,0.429,0.51,0.403
YLR331C,YLR214W,0.208,0.408,0.295,0.3036666666666667
YLR331C,YLR214W,0.208,0.408,0.295,0.3036666666666667
YLR331C,YLR215C,0.451,0.623,0.607,0.56033333333333335
YLR331C,YLR215C,0.451,0.623,0.607,0.56033333333333335
YLR331C,YLR218C,0.353,0.478,0.416,0.41566666666666663
YLR331C,YLR218C,0.353,0.478,0.416,0.41566666666666663
YLR331C,YLR221C,0.737,0.849,0.711,0.7656666666666666
YLR331C,YLR221C,0.737,0.849,0.711,0.7656666666666666
YLR331C,YLR223C,0.529,0.628,0.533,0.5633333333333334
YLR331C,YLR223C,0.529,0.628,0.533,0.5633333333333334
YLR331C,YLR224W,0.324,0.381,0.514,0.4063333333333334
YLR331C,YLR224W,0.324,0.381,0.514,0.4063333333333334
YLR331C,YLR226W,0.434,0.476,0.371,0.427
YLR331C,YLR226W,0.434,0.476,0.371,0.427
YLR331C,YLR227C,0.266,0.452,0.447,0.38833333333333336
YLR331C,YLR227C,0.266,0.452,0.447,0.38833333333333336
YLR331C,YLR229C,0.25,0.466,0.522,0.4126666666666667
YLR331C,YLR229C,0.25,0.466,0.522,0.4126666666666667
YLR331C,YLR230W,0.352,0.375,0.316,0.3476666666666666
YLR331C,YLR230W,0.352,0.375,0.316,0.3476666666666666
YLR331C,YLR167W,0.97,0.993,1,0.9876666666666667
YLR331C,YLR167W,0.97,0.993,1,0.9876666666666667
YLR331C,YLR168C,0.32,0.454,0.14,0.3046666666666667
YLR331C,YLR168C,0.32,0.454,0.14,0.3046666666666667
YLR331C,YLR191W,0.332,0.379,0.561,0.4240000000000001
YLR331C,YLR191W,0.332,0.379,0.561,0.4240000000000001
YLR331C,YLR192C,0.808,0.625,0.622,0.685
YLR331C,YLR192C,0.808,0.625,0.622,0.685
YLR331C,YLR193C,0.315,0.455,0.164,0.31133333333333335
YLR331C,YLR193C,0.315,0.455,0.164,0.31133333333333335
YLR331C,YLR196W,0.676,0.725,0.745,0.7153333333333333
YLR331C,YLR196W,0.676,0.725,0.745,0.7153333333333333
YLR331C,YLR197W,0.558,0.728,0.745,0.677
YLR331C,YLR197W,0.558,0.728,0.745,0.677
YLR331C,YLR198C,0.9,0.686,0.785,0.7903333333333333
YLR331C,YLR198C,0.9,0.686,0.785,0.7903333333333333
YLR331C,YLR199C,0.355,0.517,0.162,0.3446666666666667
YLR331C,YLR199C,0.355,0.517,0.162,0.3446666666666667
YLR331C,YLR200W,0.545,0.28,0.506,0.44366666666666665
YLR331C,YLR200W,0.545,0.28,0.506,0.44366666666666665
YLR331C,YLR203C,0.407,0.35,0.26,0.33899999999999997
YLR331C,YLR203C,0.407,0.35,0.26,0.33899999999999997
YLR331C,YLR206W,0.373,0.437,0.501,0.437
YLR331C,YLR206W,0.373,0.437,0.501,0.437
YLR331C,YLR207W,0.256,0.451,0.571,0.426
YLR331C,YLR207W,0.256,0.451,0.571,0.426
YLR331C,YLR208W,0.368,0.429,0.48,0.42566666666666664
YLR331C,YLR208W,0.368,0.429,0.48,0.42566666666666664
YLR331C,YLR170C,0.223,0.408,0.492,0.37433333333333335
YLR331C,YLR170C,0.223,0.408,0.492,0.37433333333333335
YLR331C,YLR174W,0.306,0.542,0.467,0.4383333333333334
YLR331C,YLR174W,0.306,0.542,0.467,0.4383333333333334
YLR331C,YLR175W,0.702,0.659,0.749,0.7033333333333333
YLR331C,YLR175W,0.702,0.659,0.749,0.7033333333333333
YLR331C,YLR176C,0.4,0.354,0.479,0.41100000000000003
YLR331C,YLR176C,0.4,0.354,0.479,0.41100000000000003
YLR331C,YLR178C,0.242,0.453,0.132,0.27566666666666667
YLR331C,YLR178C,0.242,0.453,0.132,0.27566666666666667
YLR331C,YLR179C,0.441,0.766,1,0.7356666666666666
YLR331C,YLR179C,0.441,0.766,1,0.7356666666666666
YLR331C,YLR180W,0.379,0.553,0.481,0.47100000000000003
YLR331C,YLR180W,0.379,0.553,0.481,0.47100000000000003
YLR331C,YLR181C,0.264,0.444,0.186,0.298
YLR331C,YLR181C,0.264,0.444,0.186,0.298
YLR331C,YLR182W,0.347,0.434,0.3,0.36033333333333334
YLR331C,YLR182W,0.347,0.434,0.3,0.36033333333333334
YLR331C,YLR183C,0.373,0.451,0.347,0.39033333333333337
YLR331C,YLR183C,0.373,0.451,0.347,0.39033333333333337
YLR331C,YLR185W,0.841,0.984,0.987,0.9373333333333332
YLR331C,YLR185W,0.841,0.984,0.987,0.9373333333333332
YLR331C,YLR186W,0.677,0.674,0.667,0.6726666666666666
YLR331C,YLR186W,0.677,0.674,0.667,0.6726666666666666
YLR331C,YLR188W,0.215,0.511,0.311,0.3456666666666666
YLR331C,YLR188W,0.215,0.511,0.311,0.3456666666666666
YLR331C,YLR141W,0.466,0.458,0.482,0.46866666666666673
YLR331C,YLR141W,0.466,0.458,0.482,0.46866666666666673
YLR331C,YLR144C,0.279,0.364,0.168,0.27033333333333337
YLR331C,YLR144C,0.279,0.364,0.168,0.27033333333333337
YLR331C,YLR145W,0.502,0.569,0.677,0.5826666666666667
YLR331C,YLR145W,0.502,0.569,0.677,0.5826666666666667
YLR331C,YLR147C,0.67,0.61,0.739,0.673
YLR331C,YLR147C,0.67,0.61,0.739,0.673
YLR331C,YLR148W,0.304,0.428,0.582,0.438
YLR331C,YLR148W,0.304,0.428,0.582,0.438
YLR331C,YLR150W,0.903,0.906,0.921,0.9100000000000001
YLR331C,YLR150W,0.903,0.906,0.921,0.9100000000000001
YLR331C,YLR151C,0.275,0.509,0.303,0.36233333333333334
YLR331C,YLR151C,0.275,0.509,0.303,0.36233333333333334
YLR331C,YLR163C,0.327,0.401,0.376,0.36800000000000005
YLR331C,YLR163C,0.327,0.401,0.376,0.36800000000000005
YLR331C,YLR164W,0.299,0.461,0.496,0.4186666666666667
YLR331C,YLR164W,0.299,0.461,0.496,0.4186666666666667
YLR331C,YLR119W,0.301,0.481,0.473,0.4183333333333333
YLR331C,YLR119W,0.301,0.481,0.473,0.4183333333333333
YLR331C,YLR120C,0.259,0.289,0.165,0.2376666666666667
YLR331C,YLR120C,0.259,0.289,0.165,0.2376666666666667
YLR331C,YLR128W,0.348,0.427,0.484,0.41966666666666663
YLR331C,YLR128W,0.348,0.427,0.484,0.41966666666666663
YLR331C,YLR129W,0.648,0.673,0.878,0.7330000000000001
YLR331C,YLR129W,0.648,0.673,0.878,0.7330000000000001
YLR331C,YLR130C,0.17,0.422,0.241,0.2776666666666667
YLR331C,YLR130C,0.17,0.422,0.241,0.2776666666666667
YLR331C,YLR131C,0.344,0.357,0.517,0.40599999999999997
YLR331C,YLR131C,0.344,0.357,0.517,0.40599999999999997
YLR331C,YLR132C,0.319,0.522,0.233,0.35800000000000004
YLR331C,YLR132C,0.319,0.522,0.233,0.35800000000000004
YLR331C,YLR135W,0.346,0.531,0.369,0.41533333333333333
YLR331C,YLR135W,0.346,0.531,0.369,0.41533333333333333
YLR331C,YLR166C,0.346,0.421,0.392,0.38633333333333325
YLR331C,YLR166C,0.346,0.421,0.392,0.38633333333333325
YLR331C,YLR253W,0.293,0.484,0.413,0.39666666666666667
YLR331C,YLR253W,0.293,0.484,0.413,0.39666666666666667
YLR331C,YLR254C,0.217,0.505,0.374,0.36533333333333334
YLR331C,YLR254C,0.217,0.505,0.374,0.36533333333333334
YLR331C,YLR258W,0.294,0.469,0.256,0.3396666666666666
YLR331C,YLR258W,0.294,0.469,0.256,0.3396666666666666
YLR331C,YLR259C,0.422,0.525,0.477,0.4746666666666666
YLR331C,YLR259C,0.422,0.525,0.477,0.4746666666666666
YLR331C,YLR260W,0.3,0.437,0.25,0.329
YLR331C,YLR260W,0.3,0.437,0.25,0.329
YLR331C,YLR284C,0.21,0.462,0.296,0.32266666666666666
YLR331C,YLR284C,0.21,0.462,0.296,0.32266666666666666
YLR331C,YLR286C,0.32,0.34,0.309,0.323
YLR331C,YLR286C,0.32,0.34,0.309,0.323
YLR331C,YLR288C,0.354,0.526,0.562,0.48066666666666674
YLR331C,YLR288C,0.354,0.526,0.562,0.48066666666666674
YLR331C,YLR289W,0.502,0.745,0.84,0.6956666666666665
YLR331C,YLR289W,0.502,0.745,0.84,0.6956666666666665
YLR331C,YLR291C,0.542,0.598,0.665,0.6016666666666667
YLR331C,YLR291C,0.542,0.598,0.665,0.6016666666666667
YLR331C,YLR292C,0.242,0.443,0.326,0.337
YLR331C,YLR292C,0.242,0.443,0.326,0.337
YLR331C,YLR293C,0.492,0.461,0.47,0.47433333333333333
YLR331C,YLR293C,0.492,0.461,0.47,0.47433333333333333
YLR331C,YLR294C,0.315,0.329,0.109,0.251
YLR331C,YLR294C,0.315,0.329,0.109,0.251
YLR253W,YLR253W,1,1,1,1
YLR253W,YLR253W,1,1,1,1
YLR253W,YLR254C,0.295,0.459,0.308,0.35400000000000004
YLR253W,YLR254C,0.295,0.459,0.308,0.35400000000000004
YLR253W,YLR258W,0.357,0.469,0.567,0.46433333333333326
YLR253W,YLR258W,0.357,0.469,0.567,0.46433333333333326
YLR253W,YLR259C,0.288,0.788,0.448,0.508
YLR253W,YLR259C,0.288,0.788,0.448,0.508
YLR253W,YLR260W,0.346,0.565,0.61,0.507
YLR253W,YLR260W,0.346,0.565,0.61,0.507
YLR253W,YLR284C,0.323,0.609,0.562,0.498
YLR253W,YLR284C,0.323,0.609,0.562,0.498
YLR253W,YLR286C,0.339,0.364,0.369,0.35733333333333334
YLR253W,YLR286C,0.339,0.364,0.369,0.35733333333333334
YLR253W,YLR288C,0.358,0.565,0.521,0.48133333333333334
YLR253W,YLR288C,0.358,0.565,0.521,0.48133333333333334
YLR253W,YLR289W,0.383,0.66,0.299,0.44733333333333336
YLR253W,YLR289W,0.383,0.66,0.299,0.44733333333333336
YLR253W,YLR291C,0.303,0.493,0.414,0.4033333333333333
YLR253W,YLR291C,0.303,0.493,0.414,0.4033333333333333
YLR253W,YLR292C,0.208,0.568,0.246,0.3406666666666666
YLR253W,YLR292C,0.208,0.568,0.246,0.3406666666666666
YLR253W,YLR293C,0.235,0.578,0.366,0.39299999999999996
YLR253W,YLR293C,0.235,0.578,0.366,0.39299999999999996
YLR253W,YLR294C,0.38,0.647,0.163,0.3966666666666667
YLR253W,YLR294C,0.38,0.647,0.163,0.3966666666666667
YLR253W,YLR233C,0.339,0.504,0.48,0.441
YLR253W,YLR233C,0.339,0.504,0.48,0.441
YLR253W,YLR234W,0.351,0.543,0.488,0.4606666666666667
YLR253W,YLR234W,0.351,0.543,0.488,0.4606666666666667
YLR253W,YLR262C,0.178,0.638,0.355,0.39033333333333337
YLR253W,YLR262C,0.178,0.638,0.355,0.39033333333333337
YLR253W,YLR264W,0.29,0.479,0.413,0.39399999999999996
YLR253W,YLR264W,0.29,0.479,0.413,0.39399999999999996
YLR253W,YLR265C,0.368,0.567,0.571,0.5019999999999999
YLR253W,YLR265C,0.368,0.567,0.571,0.5019999999999999
YLR253W,YLR268W,0.207,0.565,0.426,0.3993333333333333
YLR253W,YLR268W,0.207,0.565,0.426,0.3993333333333333
YLR253W,YLR270W,0.251,0.451,0.523,0.4083333333333334
YLR253W,YLR270W,0.251,0.451,0.523,0.4083333333333334
YLR253W,YLR272C,0.361,0.501,0.481,0.44766666666666666
YLR253W,YLR272C,0.361,0.501,0.481,0.44766666666666666
YLR253W,YLR273C,0.374,0.366,0.214,0.318
YLR253W,YLR273C,0.374,0.366,0.214,0.318
YLR253W,YLR210W,0.346,0.449,0.612,0.46900000000000003
YLR253W,YLR210W,0.346,0.449,0.612,0.46900000000000003
YLR253W,YLR212C,0.359,0.537,0.321,0.4056666666666667
YLR253W,YLR212C,0.359,0.537,0.321,0.4056666666666667
YLR253W,YLR213C,0.293,0.196,0.475,0.3213333333333333
YLR253W,YLR213C,0.293,0.196,0.475,0.3213333333333333
YLR253W,YLR238W,0.34,0.565,0.381,0.4286666666666667
YLR253W,YLR238W,0.34,0.565,0.381,0.4286666666666667
YLR253W,YLR239C,0.43,0.608,0.567,0.535
YLR253W,YLR239C,0.43,0.608,0.567,0.535
YLR253W,YLR240W,0.364,0.476,0.735,0.525
YLR253W,YLR240W,0.364,0.476,0.735,0.525
YLR253W,YLR242C,0.4,0.615,0.596,0.537
YLR253W,YLR242C,0.4,0.615,0.596,0.537
YLR253W,YLR243W,0.329,0.484,0.467,0.4266666666666667
YLR253W,YLR243W,0.329,0.484,0.467,0.4266666666666667
YLR253W,YLR244C,0.376,0.306,0.568,0.4166666666666667
YLR253W,YLR244C,0.376,0.306,0.568,0.4166666666666667
YLR253W,YLR246W,0.363,0.544,0.372,0.4263333333333333
YLR253W,YLR246W,0.363,0.544,0.372,0.4263333333333333
YLR253W,YLR247C,0.399,0.422,0.393,0.4046666666666667
YLR253W,YLR247C,0.399,0.422,0.393,0.4046666666666667
YLR253W,YLR248W,0.295,0.388,0.659,0.44733333333333336
YLR253W,YLR248W,0.295,0.388,0.659,0.44733333333333336
YLR253W,YLR249W,0.289,0.449,0.448,0.3953333333333333
YLR253W,YLR249W,0.289,0.449,0.448,0.3953333333333333
YLR253W,YLR250W,0.097,0.618,0.59,0.435
YLR253W,YLR250W,0.097,0.618,0.59,0.435
YLR253W,YLR251W,0.207,0.547,0.462,0.4053333333333333
YLR253W,YLR251W,0.207,0.547,0.462,0.4053333333333333
YLR253W,YLR189C,0.385,0.538,0.249,0.3906666666666667
YLR253W,YLR189C,0.385,0.538,0.249,0.3906666666666667
YLR253W,YLR190W,0.37,0.526,0.456,0.4506666666666667
YLR253W,YLR190W,0.37,0.526,0.456,0.4506666666666667
YLR253W,YLR214W,0.214,0.51,0.368,0.36400000000000005
YLR253W,YLR214W,0.214,0.51,0.368,0.36400000000000005
YLR253W,YLR215C,0.35,0.423,0.633,0.4686666666666666
YLR253W,YLR215C,0.35,0.423,0.633,0.4686666666666666
YLR253W,YLR218C,0.363,0.8,0.506,0.5563333333333333
YLR253W,YLR218C,0.363,0.8,0.506,0.5563333333333333
YLR253W,YLR221C,0.296,0.451,0.266,0.3376666666666666
YLR253W,YLR221C,0.296,0.451,0.266,0.3376666666666666
YLR253W,YLR223C,0.305,0.5,0.316,0.37366666666666665
YLR253W,YLR223C,0.305,0.5,0.316,0.37366666666666665
YLR253W,YLR224W,0.381,0.401,0.329,0.37033333333333335
YLR253W,YLR224W,0.381,0.401,0.329,0.37033333333333335
YLR253W,YLR226W,0.357,0.45,0.682,0.4963333333333333
YLR253W,YLR226W,0.357,0.45,0.682,0.4963333333333333
YLR253W,YLR227C,0.308,0.448,0.272,0.3426666666666667
YLR253W,YLR227C,0.308,0.448,0.272,0.3426666666666667
YLR253W,YLR229C,0.325,0.388,0.604,0.43900000000000006
YLR253W,YLR229C,0.325,0.388,0.604,0.43900000000000006
YLR253W,YLR230W,0.275,0.408,0.242,0.30833333333333335
YLR253W,YLR230W,0.275,0.408,0.242,0.30833333333333335
YLR253W,YLR167W,0.296,0.469,0.413,0.39266666666666666
YLR253W,YLR167W,0.296,0.469,0.413,0.39266666666666666
YLR253W,YLR168C,0.394,0.837,0.19,0.4736666666666666
YLR253W,YLR168C,0.394,0.837,0.19,0.4736666666666666
YLR253W,YLR191W,0.379,0.496,0.49,0.455
YLR253W,YLR191W,0.379,0.496,0.49,0.455
YLR253W,YLR192C,0.379,0.472,0.31,0.387
YLR253W,YLR192C,0.379,0.472,0.31,0.387
YLR253W,YLR193C,0.45,0.852,0.355,0.5523333333333333
YLR253W,YLR193C,0.45,0.852,0.355,0.5523333333333333
YLR253W,YLR196W,0.252,0.421,0.269,0.314
YLR253W,YLR196W,0.252,0.421,0.269,0.314
YLR253W,YLR197W,0.231,0.426,0.269,0.3086666666666667
YLR253W,YLR197W,0.231,0.426,0.269,0.3086666666666667
YLR253W,YLR198C,0.321,0.429,0.409,0.38633333333333336
YLR253W,YLR198C,0.321,0.429,0.409,0.38633333333333336
YLR253W,YLR199C,0.31,0.529,0.365,0.4013333333333333
YLR253W,YLR199C,0.31,0.529,0.365,0.4013333333333333
YLR253W,YLR200W,0.295,0.105,0.343,0.24766666666666667
YLR253W,YLR200W,0.295,0.105,0.343,0.24766666666666667
YLR253W,YLR203C,0.298,0.772,0.262,0.444
YLR253W,YLR203C,0.298,0.772,0.262,0.444
YLR253W,YLR206W,0.316,0.467,0.439,0.4073333333333333
YLR253W,YLR206W,0.316,0.467,0.439,0.4073333333333333
YLR253W,YLR207W,0.276,0.623,0.455,0.45133333333333336
YLR253W,YLR207W,0.276,0.623,0.455,0.45133333333333336
YLR253W,YLR208W,0.226,0.528,0.298,0.3506666666666667
YLR253W,YLR208W,0.226,0.528,0.298,0.3506666666666667
YLR253W,YLR170C,0.148,0.478,0.344,0.3233333333333333
YLR253W,YLR170C,0.148,0.478,0.344,0.3233333333333333
YLR253W,YLR174W,0.405,0.761,0.693,0.6196666666666667
YLR253W,YLR174W,0.405,0.761,0.693,0.6196666666666667
YLR253W,YLR175W,0.258,0.428,0.279,0.32166666666666666
YLR253W,YLR175W,0.258,0.428,0.279,0.32166666666666666
YLR253W,YLR176C,0.338,0.447,0.545,0.44333333333333336
YLR253W,YLR176C,0.338,0.447,0.545,0.44333333333333336
YLR253W,YLR178C,0.309,0.586,0.207,0.36733333333333335
YLR253W,YLR178C,0.309,0.586,0.207,0.36733333333333335
YLR253W,YLR179C,0.314,0.601,0.34,0.4183333333333334
YLR253W,YLR179C,0.314,0.601,0.34,0.4183333333333334
YLR253W,YLR180W,0.385,0.554,0.703,0.5473333333333333
YLR253W,YLR180W,0.385,0.554,0.703,0.5473333333333333
YLR253W,YLR181C,0.184,0.618,0.168,0.32333333333333336
YLR253W,YLR181C,0.184,0.618,0.168,0.32333333333333336
YLR253W,YLR182W,0.284,0.469,0.228,0.32699999999999996
YLR253W,YLR182W,0.284,0.469,0.228,0.32699999999999996
YLR253W,YLR183C,0.301,0.449,0.478,0.4093333333333333
YLR253W,YLR183C,0.301,0.449,0.478,0.4093333333333333
YLR253W,YLR185W,0.277,0.484,0.413,0.3913333333333333
YLR253W,YLR185W,0.277,0.484,0.413,0.3913333333333333
YLR253W,YLR186W,0.222,0.442,0.346,0.33666666666666667
YLR253W,YLR186W,0.222,0.442,0.346,0.33666666666666667
YLR253W,YLR188W,0.196,0.824,0.387,0.46900000000000003
YLR253W,YLR188W,0.196,0.824,0.387,0.46900000000000003
YLR253W,YLR141W,0.25,0.501,0.329,0.36000000000000004
YLR253W,YLR141W,0.25,0.501,0.329,0.36000000000000004
YLR253W,YLR144C,0.322,0.427,0.378,0.37566666666666665
YLR253W,YLR144C,0.322,0.427,0.378,0.37566666666666665
YLR253W,YLR145W,0.263,0.401,0.434,0.36600000000000005
YLR253W,YLR145W,0.263,0.401,0.434,0.36600000000000005
YLR253W,YLR147C,0.246,0.506,0.256,0.336
YLR253W,YLR147C,0.246,0.506,0.256,0.336
YLR253W,YLR148W,0.275,0.486,0.407,0.3893333333333333
YLR253W,YLR148W,0.275,0.486,0.407,0.3893333333333333
YLR253W,YLR150W,0.318,0.465,0.333,0.37200000000000005
YLR253W,YLR150W,0.318,0.465,0.333,0.37200000000000005
YLR253W,YLR151C,0.31,0.737,0.482,0.5096666666666666
YLR253W,YLR151C,0.31,0.737,0.482,0.5096666666666666
YLR253W,YLR163C,0.315,0.709,0.563,0.529
YLR253W,YLR163C,0.315,0.709,0.563,0.529
YLR253W,YLR164W,0.354,0.763,0.635,0.584
YLR253W,YLR164W,0.354,0.763,0.635,0.584
YLR253W,YLR119W,0.18,0.563,0.318,0.35366666666666663
YLR253W,YLR119W,0.18,0.563,0.318,0.35366666666666663
YLR253W,YLR120C,0.345,0.34,0.301,0.32866666666666666
YLR253W,YLR120C,0.345,0.34,0.301,0.32866666666666666
YLR253W,YLR128W,0.422,0.297,0.624,0.44766666666666666
YLR253W,YLR128W,0.422,0.297,0.624,0.44766666666666666
YLR253W,YLR129W,0.206,0.431,0.454,0.36366666666666664
YLR253W,YLR129W,0.206,0.431,0.454,0.36366666666666664
YLR253W,YLR130C,0.268,0.554,0.235,0.35233333333333333
YLR253W,YLR130C,0.268,0.554,0.235,0.35233333333333333
YLR253W,YLR131C,0.291,0.464,0.459,0.4046666666666667
YLR253W,YLR131C,0.291,0.464,0.459,0.4046666666666667
YLR253W,YLR132C,0.273,0.813,0.291,0.4589999999999999
YLR253W,YLR132C,0.273,0.813,0.291,0.4589999999999999
YLR253W,YLR135W,0.317,0.52,0.388,0.4083333333333334
YLR253W,YLR135W,0.317,0.52,0.388,0.4083333333333334
YLR253W,YLR166C,0.26,0.378,0.354,0.33066666666666666
YLR253W,YLR166C,0.26,0.378,0.354,0.33066666666666666
YLR253W,YLR253W,1,1,1,1
YLR253W,YLR253W,1,1,1,1
YLR253W,YLR254C,0.295,0.459,0.308,0.35400000000000004
YLR253W,YLR254C,0.295,0.459,0.308,0.35400000000000004
YLR253W,YLR258W,0.357,0.469,0.567,0.46433333333333326
YLR253W,YLR258W,0.357,0.469,0.567,0.46433333333333326
YLR253W,YLR259C,0.288,0.788,0.448,0.508
YLR253W,YLR259C,0.288,0.788,0.448,0.508
YLR253W,YLR260W,0.346,0.565,0.61,0.507
YLR253W,YLR260W,0.346,0.565,0.61,0.507
YLR253W,YLR284C,0.323,0.609,0.562,0.498
YLR253W,YLR284C,0.323,0.609,0.562,0.498
YLR253W,YLR286C,0.339,0.364,0.369,0.35733333333333334
YLR253W,YLR286C,0.339,0.364,0.369,0.35733333333333334
YLR253W,YLR288C,0.358,0.565,0.521,0.48133333333333334
YLR253W,YLR288C,0.358,0.565,0.521,0.48133333333333334
YLR253W,YLR289W,0.383,0.66,0.299,0.44733333333333336
YLR253W,YLR289W,0.383,0.66,0.299,0.44733333333333336
YLR253W,YLR291C,0.303,0.493,0.414,0.4033333333333333
YLR253W,YLR291C,0.303,0.493,0.414,0.4033333333333333
YLR253W,YLR292C,0.208,0.568,0.246,0.3406666666666666
YLR253W,YLR292C,0.208,0.568,0.246,0.3406666666666666
YLR253W,YLR293C,0.235,0.578,0.366,0.39299999999999996
YLR253W,YLR293C,0.235,0.578,0.366,0.39299999999999996
YLR253W,YLR294C,0.38,0.647,0.163,0.3966666666666667
YLR253W,YLR294C,0.38,0.647,0.163,0.3966666666666667
YLR254C,YLR254C,1,1,1,1
YLR254C,YLR254C,1,1,1,1
YLR254C,YLR258W,0.22,0.703,0.223,0.38199999999999995
YLR254C,YLR258W,0.22,0.703,0.223,0.38199999999999995
YLR254C,YLR259C,0.412,0.637,0.587,0.5453333333333333
YLR254C,YLR259C,0.412,0.637,0.587,0.5453333333333333
YLR254C,YLR260W,0.262,0.582,0.226,0.3566666666666667
YLR254C,YLR260W,0.262,0.582,0.226,0.3566666666666667
YLR254C,YLR284C,0.202,0.442,0.242,0.29533333333333334
